group,target,prediction,probability
MAIN,1,1,0.5878937722157471
MAIN,0,0,0.22238088677252685
MAIN,0,0,0.2818286782294867
MAIN,0,0,0.4120929419527447
MAIN,0,0,0.4552377240823288
MAIN,1,1,0.6570920822474638
MAIN,0,1,0.5151768084552133
MAIN,1,1,0.6188755736520021
MAIN,0,0,0.3707545942928475
MAIN,1,0,0.4233001946750556
MAIN,0,1,0.5204258090218629
MAIN,1,0,0.2751935539605679
MAIN,0,0,0.3261230322682321
MAIN,0,0,0.430235448230284
MAIN,0,0,0.2106570081352607
MAIN,1,1,0.5869930606737231
MAIN,0,0,0.3500341099809983
MAIN,0,0,0.2434377031041051
MAIN,0,0,0.36530728294195697
MAIN,1,0,0.3961209034790754
MAIN,0,0,0.3691821403742808
MAIN,0,0,0.32687382976727924
MAIN,1,0,0.3574218491587297
MAIN,1,1,0.6127094041582589
MAIN,0,1,0.6533577492607672
MAIN,1,1,0.7980167080570939
MAIN,1,1,0.5657415787099316
MAIN,0,1,0.6263715393401734
MAIN,1,1,0.6476245054066903
MAIN,0,0,0.4670674106961576
MAIN,0,0,0.3977547550240181
MAIN,1,1,0.7347443961145739
MAIN,0,1,0.553945622455623
MAIN,0,0,0.2319283736741049
MAIN,1,1,0.562234801520996
MAIN,1,0,0.37196869879106925
MAIN,0,0,0.38482645899728907
MAIN,1,0,0.30264094824058946
MAIN,0,0,0.2734548429919717
MAIN,1,1,0.5397412177808015
MAIN,1,1,0.634385601567354
MAIN,1,0,0.3139411770837454
MAIN,0,1,0.6385125579217802
MAIN,1,1,0.5411179782096524
MAIN,0,1,0.7902476421277868
MAIN,1,1,0.539470305152144
MAIN,0,1,0.6525827148015764
MAIN,1,1,0.5143626256203011
MAIN,0,0,0.3699370699270809
MAIN,0,1,0.6926355339997069
MAIN,0,1,0.5538643530028801
MAIN,0,1,0.6927358268436689
MAIN,0,0,0.27017099151871116
MAIN,1,0,0.29357376015847536
MAIN,0,0,0.48838080121498495
MAIN,0,0,0.21424994602736844
MAIN,1,1,0.6063927799047977
MAIN,1,0,0.21388120882433537
MAIN,0,0,0.3911313366813822
MAIN,0,1,0.6216699997156996
MAIN,0,0,0.286605399211583
MAIN,1,1,0.6289081243994542
MAIN,1,1,0.7006236246097115
MAIN,1,1,0.5809018797575405
MAIN,0,0,0.3992620080270464
MAIN,1,0,0.2694125550253703
MAIN,1,1,0.690071344207346
MAIN,0,0,0.3457902226052807
MAIN,0,0,0.32023367208760023
MAIN,1,0,0.4468290188950766
MAIN,1,0,0.34390812343041843
MAIN,1,1,0.6550595423865946
MAIN,1,1,0.559725991314267
MAIN,0,0,0.35149747015016986
MAIN,1,1,0.7556632853360272
MAIN,1,1,0.5994572445075748
MAIN,1,1,0.6967354691833041
MAIN,1,1,0.6080519007855267
MAIN,0,1,0.5578171268135841
MAIN,0,1,0.6583070704265156
MAIN,1,0,0.4594318542225582
MAIN,1,1,0.7260734459954454
MAIN,1,0,0.26805265835881936
MAIN,1,1,0.655239451355898
MAIN,0,0,0.3624557432624336
MAIN,1,1,0.5429995806416307
MAIN,0,1,0.680175887384489
MAIN,0,0,0.41567766778599846
MAIN,1,0,0.40991420210326684
MAIN,1,1,0.658267403109168
MAIN,1,0,0.467644901702758
MAIN,0,0,0.3144182394974776
MAIN,1,0,0.38879995400069084
MAIN,0,0,0.48503704452085916
MAIN,0,0,0.45598298680501287
MAIN,1,1,0.6558930122357128
MAIN,0,1,0.6448938907075488
MAIN,0,0,0.2633249965848388
MAIN,0,0,0.36825518600102763
MAIN,0,0,0.4328433147060969
MAIN,0,0,0.3936635646229906
MAIN,1,0,0.33169061029006847
MAIN,1,1,0.6069323893603172
MAIN,1,1,0.5453720389355013
MAIN,1,0,0.46572202555512077
MAIN,0,0,0.38877667473155586
MAIN,1,1,0.7388498313027785
MAIN,0,0,0.2564414058239118
MAIN,1,1,0.7298270120362758
MAIN,0,1,0.6965270342228089
MAIN,1,1,0.5428478392646608
MAIN,0,1,0.5206496117117401
MAIN,1,1,0.5247362656126602
MAIN,1,1,0.6986744165029591
MAIN,0,0,0.4897823021459155
MAIN,0,1,0.6703777063907542
MAIN,1,1,0.6061962957532044
MAIN,0,1,0.6292436918312153
MAIN,1,0,0.26646152593470834
MAIN,1,1,0.7639185608102362
MAIN,0,0,0.42034335911941406
MAIN,1,0,0.3215307282478917
MAIN,0,0,0.4976369445266263
MAIN,1,1,0.6793060317981967
MAIN,1,1,0.6477828262920675
MAIN,0,1,0.6040758226034229
MAIN,1,1,0.5340347859280578
MAIN,0,0,0.428145112618407
MAIN,1,1,0.7026598613250675
MAIN,1,1,0.530245750440462
MAIN,1,1,0.6706648172953326
MAIN,1,1,0.6267162010298687
MAIN,0,1,0.5257032873866171
MAIN,1,1,0.5329673941990863
MAIN,0,1,0.5129182358348802
MAIN,0,0,0.44233638527394686
MAIN,0,1,0.5143149127177888
MAIN,0,0,0.2682626783041339
MAIN,1,0,0.33828904245858415
MAIN,0,0,0.15468011728287942
MAIN,0,0,0.4200356666470554
MAIN,1,1,0.6633429787497738
MAIN,0,0,0.4538092724863649
MAIN,0,0,0.2787135206727869
MAIN,0,1,0.5876914869968816
MAIN,0,0,0.4402692518501539
MAIN,1,1,0.5806819174932867
MAIN,1,1,0.8360560858455542
MAIN,0,0,0.45527022616469653
MAIN,1,0,0.29456907434043916
